,기준뉴스문장,임계치문장,코사인유사도,클러스터갯수
2716,주호영 “李朴 반성하면 사면 이낙연 장난치지 마”…野 “비겁·잔인”종합,선수 뺏긴 국민의힘 ‘묵묵부답’…친이·친박은 사면 환영,0.7000007247741337,326
104,선수 뺏긴 국민의힘 ‘묵묵부답’…친이·친박은 사면 환영,주호영 “李朴 반성하면 사면 이낙연 장난치지 마”…野 “비겁·잔인”종합,0.7000007247741337,213
5599,해맞이 인파로 북적이는 잠수교,해돋이 보려고 호미곶 출입 통제 뚫어…포항 실시간 상황,0.7000007431702863,107
4717,해돋이 보려고 호미곶 출입 통제 뚫어…포항 실시간 상황,해맞이 인파로 북적이는 잠수교,0.7000007431702863,60
5634,청주 배터리 제조업체 불...인명 피해 없어,남양주 송라산 7부 능선서 불…인명 피해는 없어,0.7000012517155088,36
3584,남양주 송라산 7부 능선서 불…인명 피해는 없어,청주 배터리 제조업체 불...인명 피해 없어,0.7000012517155088,40
573,통합 명분으로 이명박·박근혜 사면 꺼낸 이낙연,뉴스추적 이재명 대세론 확산…이낙연 사면론 반성부터,0.7000014496975644,366
2648,뉴스추적 이재명 대세론 확산…이낙연 사면론 반성부터,통합 명분으로 이명박·박근혜 사면 꺼낸 이낙연,0.7000014496975644,57
4395,청주 교회관련 확진 어린이집 교사 접촉 원생 등 전원 음성,경기 군포시 공장 관련 신규 집단감염…67명 확진,0.7000017894119155,222
4178,경기 군포시 공장 관련 신규 집단감염…67명 확진,청주 교회관련 확진 어린이집 교사 접촉 원생 등 전원 음성,0.7000017894119155,354
2000,동부구치소 찾아 코로나19 현장 점검 나선 정세균 총리,현충원 참배 나선 문재인 대통령,0.7000023620675128,236
2276,현충원 참배 나선 문재인 대통령,동부구치소 찾아 코로나19 현장 점검 나선 정세균 총리,0.7000023620675128,348
3743,영상 “폴짝폴짝·쿵쿵”…정부 제작 ‘집콕댄스’ “세금 낭비” 뭇매,영상 드론 1000대가 쓴 희망 메시지···현대차 새해맞이 드론쇼,0.7000023727868839,21
4087,영상 드론 1000대가 쓴 희망 메시지···현대차 새해맞이 드론쇼,영상 “폴짝폴짝·쿵쿵”…정부 제작 ‘집콕댄스’ “세금 낭비” 뭇매,0.7000023727868839,39
7245,기재차관 올해 노동법제 개선 논의 빠르게 진화,세븐일레븐 기업문화 개선 ‘리스펙트7 캠페인’ 활동,0.7000032841660134,13
7996,세븐일레븐 기업문화 개선 ‘리스펙트7 캠페인’ 활동,기재차관 올해 노동법제 개선 논의 빠르게 진화,0.7000032841660134,20
1993,박형준 “국민통합·위기극복 위해 필요…문 대통령 前대통령 사면하길”,이낙연發 사면론에 정치권 발칵…반대 환영 불붙어,0.7000034792785201,230
2516,이낙연發 사면론에 정치권 발칵…반대 환영 불붙어,박형준 “국민통합·위기극복 위해 필요…문 대통령 前대통령 사면하길”,0.7000034792785201,333
943,묵념하는 김종인 비대위원장,새해 첫 현충원 찾은 이낙연 대표,0.7000035550798205,227
722,새해 첫 현충원 찾은 이낙연 대표,묵념하는 김종인 비대위원장,0.7000035550798205,225
6376,새해 첫날 인천신항한진컨테이너터미널,경남 새해 첫날부터 밤새 신규 확진자 13명 발생,0.7000038867803089,161
5302,경남 새해 첫날부터 밤새 신규 확진자 13명 발생,새해 첫날 인천신항한진컨테이너터미널,0.7000038867803089,451
4849,광주교도소 신입 수용자 1명 코로나19 확진으로 하루 만에 출소,서울서 코로나19 359명 신규 확진…17일 연속 300명대,0.7000048210441816,270
5283,서울서 코로나19 359명 신규 확진…17일 연속 300명대,광주교도소 신입 수용자 1명 코로나19 확진으로 하루 만에 출소,0.7000048210441816,453
1116,북한 경제난 속에도 화려한 신년 경축공연으로 새해 맞이,국방부 2021년 새해 맞이 대국민 영상 인사 공개,0.7000051295209242,71
1631,국방부 2021년 새해 맞이 대국민 영상 인사 공개,북한 경제난 속에도 화려한 신년 경축공연으로 새해 맞이,0.7000051295209242,44
5654,정동진에서 떠오르는 신축년 첫 태양,한반도 육지 첫 일출 울산 간절곶…썰렁한 해맞이,0.7000051954709369,109
5875,한반도 육지 첫 일출 울산 간절곶…썰렁한 해맞이,정동진에서 떠오르는 신축년 첫 태양,0.7000051954709369,162
4986,대구서 신규 확진 43명…교회·의료기관 관련 다수,동부구치소 누적 확진자 945명…직장·종교·요양시설 감염 확산종합,0.7000057239874479,368
3852,동부구치소 누적 확진자 945명…직장·종교·요양시설 감염 확산종합,대구서 신규 확진 43명…교회·의료기관 관련 다수,0.7000057239874479,226
2281,분향하는 문재인 대통령,문 대통령 한반도 대비태세 점검으로 새해 첫날 열어 경향포토,0.7000060759893338,205
405,문 대통령 한반도 대비태세 점검으로 새해 첫날 열어 경향포토,분향하는 문재인 대통령,0.7000060759893338,208
7339,포르쉐 르망 무대 복귀를 알리는 ‘LMDh’ 레이스카의 티저 이미지 공개,김정은 금수산태양궁전 참배로 올해 첫 공개 활동,0.70000739729983,36
1109,김정은 금수산태양궁전 참배로 올해 첫 공개 활동,포르쉐 르망 무대 복귀를 알리는 ‘LMDh’ 레이스카의 티저 이미지 공개,0.70000739729983,82
2138,속보 전국 아파트 편의시설·주민센터 문화교육강좌 중단,부산 29주 연속 아파트 가격 상승…기장군 급등,0.7000075905335784,10
5987,부산 29주 연속 아파트 가격 상승…기장군 급등,속보 전국 아파트 편의시설·주민센터 문화교육강좌 중단,0.7000075905335784,36
6196,서울동부구치소서 또다시 131명 무더기 확진,軍 내 코로나19 확산세 주춤…추가 확진자 0명,0.7000077921194741,332
2155,軍 내 코로나19 확산세 주춤…추가 확진자 0명,서울동부구치소서 또다시 131명 무더기 확진,0.7000077921194741,345
4503,신축년 새해 다시 시작이다,조선·해운 환경규제·해상운임 겹호재로 다시 뛴다,0.7000078864852033,43
7031,조선·해운 환경규제·해상운임 겹호재로 다시 뛴다,신축년 새해 다시 시작이다,0.7000078864852033,19
3757,울산 기독교 선교단체 관련 코로나19 10명 추가···누계 93명,확진자 941명 동부구치소발 감염자 더 나오나…내일 5차 전수검사,0.7000080863423019,441
3995,확진자 941명 동부구치소발 감염자 더 나오나…내일 5차 전수검사,울산 기독교 선교단체 관련 코로나19 10명 추가···누계 93명,0.7000080863423019,285
741,현충탑 참배하는 김종인 비대위원장,신년 인사말하는 김종철 대표,0.7000084143931771,337
595,신년 인사말하는 김종철 대표,현충탑 참배하는 김종인 비대위원장,0.7000084143931771,235
3469,기존 확진자 관련 3명·감염경로 미상 1명 추가…광주 누적 1106명,추미애 뒤늦게 SNS로 사과…동부구치소 확진자 945명,0.7000084558072667,473
