,기준뉴스문장,임계치문장,코사인유사도,클러스터갯수
6064,최태원 사회와 공감하는 새 기업가 정신 필요,신년사서 BTS 언급한 유진그룹…팬데믹 넘기위해 팬덤 필요,0.7002097216688145,49
8654,신년사서 BTS 언급한 유진그룹…팬데믹 넘기위해 팬덤 필요,최태원 “사회와 공감하는 새 기업가 정신 필요”,0.7002097216688145,33
7741,최태원 “사회와 공감하는 새 기업가 정신 필요”,신년사서 BTS 언급한 유진그룹…팬데믹 넘기위해 팬덤 필요,0.7002097216688145,49
6660,美7대 기업 올해 시총 3700조 불어나…테슬라 9배 폭증,한은이 꼽은 올해 세계 경제 ‘7대 이슈’는...,0.7002082061154851,23
7819,한은이 꼽은 올해 세계 경제 ‘7대 이슈’는...,美7대 기업 올해 시총 3700조 불어나…테슬라 9배 폭증,0.7002082061154851,28
3759,거리두기 연장될까…길어지는 학원 중단에 방학 학습공백 어쩌나,정부 거리두기 현 단계 17일까지 2주 연장…배경은,0.7002065992658388,29
1670,정부 거리두기 현 단계 17일까지 2주 연장…배경은,거리두기 연장될까…길어지는 학원 중단에 방학 학습공백 어쩌나,0.7002065992658388,109
239,이낙연발 사면론에 정의당 박근혜 사면하면 최순실은,원희룡 전직 대통령 사면 논의 국정운영 전환점 돼야,0.7002052147236745,324
2410,원희룡 전직 대통령 사면 논의 국정운영 전환점 돼야,이낙연발 사면론에 정의당 박근혜 사면하면 최순실은,0.7002052147236745,209
1959,김한정 이낙연 李朴 사면론에 잘한 판단,이낙연 ‘사면론’에 靑 침묵…文대통령 신년기자회견서 답변할 듯,0.7002051931716745,360
2012,함께 동부구치소 대책회의 입장하는 정세균·추미애,TF포토 코로나19 집단감염 동부구치소 찾은 추미애,0.7002049145946991,161
1666,내부 반발 거센 이낙연 사면론…최고위원 설득 나서나,유승민 ”두 전직 대통령 사면 제안 적극 환영”,0.700204481050151,270
2,유승민 ”두 전직 대통령 사면 제안 적극 환영”,내부 반발 거센 이낙연 사면론…최고위원 설득 나서나,0.700204481050151,216
7807,지난 주 강원 아파트 전셋값 0.26%p 상승,지난달 소비자물가 대구 0.5%·경북 0.1% 상승,0.7002042194324398,29
6503,HMM 노사 임단협 극적 타결…파업 피했다,대구시 2월말까지 시내버스 4% 줄여 운행 … 배차시간 2분 늘어나,0.7002035531346885,22
4504,대구시 2월말까지 시내버스 4% 줄여 운행 … 배차시간 2분 늘어나,HMM 노사 임단협 극적 타결…파업 피했다,0.7002035531346885,18
1837,민주당 또 민주당…줄 잇는 與의 코로나 방역수칙 위반,‘사면’ 관련 국민의힘 “민주당 구심점 어디있나” 비판,0.7002033285780772,34
4065,신년사 유은혜 “코로나19 위기 기회삼아 미래교육 구체적으로 추진”,신축년 새해에도 코로나19 위기,0.7002033025530616,26
2327,정 총리 “3차유행 제압 시급…소중한 일상 되찾아드리겠다”,추미애 장관과 동부구치소 찾은 정세균 총리,0.7002020496373644,109
5362,새해 첫날 신규 확진자 1029명...국내 발생도 천 명대,서울 신규 확진 359명…요양병원·교회 등 집단감염 이어져,0.7002018940272144,212
6351,8일부터 외국인 입국시 코로나 음성확인서 의무화,‘영국 EU 탈퇴’에 1일부터 한영 FTA 발효…공산품 무관세 유지,0.7002017262333665,65
8440,‘영국 EU 탈퇴’에 1일부터 한영 FTA 발효…공산품 무관세 유지,8일부터 외국인 입국시 코로나 음성확인서 의무화,0.7002017262333665,20
3706,안철수 차기 서울시장 우세에도 야권 단일화 필수인 이유,SBS 여론조사…서울시장 양자 대결하면 여권 32.5% 야권 43.7%,0.7002006570388284,57
2598,SBS 여론조사…서울시장 양자 대결하면 여권 32.5% 야권 43.7%,안철수 차기 서울시장 우세에도 야권 단일화 필수인 이유,0.7002006570388284,16
6191,동학개미 덕에 코스피 시가총액 GDP 넘어선 듯,‘확진자 폭발적 증가는 막았다’…업종별 숨통 열어줄 듯,0.700200543909234,38
3137,‘확진자 폭발적 증가는 막았다’…업종별 숨통 열어줄 듯,동학개미 덕에 코스피 시가총액 GDP 넘어선 듯,0.700200543909234,28
4874,신규확진 1029명 새해 첫날 다시 1000명대…동부구치소 관련 132명종합,대구 43명·경북 24명 확진…“교회·병원 관련 감염지속”,0.7001992555172581,339
3055,대구 43명·경북 24명 확진…“교회·병원 관련 감염지속”,신규확진 1029명 새해 첫날 다시 1000명대…동부구치소 관련 132명종합,0.7001992555172581,402
3337,대구 43명 경북 24명 코로나19 신규 확진,동부구치소 집단발병 확산 누적 945명…수도권·부산 등 전국 곳곳 감염,0.7001990813119088,469
3952,동부구치소 집단발병 확산 누적 945명…수도권·부산 등 전국 곳곳 감염,대구 43명 경북 24명 코로나19 신규 확진,0.7001990813119088,207
418,창신동 주민과 대화하는 안철수 대표,안철수 24.1% 서울시장 선호도 선두…박영선 15.3% 오세훈 9.5%,0.7001989533870867,124
4035,파랑새노인건강센터 14명 추가…부산서 40명 신규 확진종합,속보 올해 국가공무원 6450명 채용…작년보다 300명 이상 많아,0.7001985929978568,432
3395,속보 올해 국가공무원 6450명 채용…작년보다 300명 이상 많아,파랑새노인건강센터 14명 추가…부산서 40명 신규 확진종합,0.7001985929978568,133
4669,속보원주 세인교회 교인 등 9명 코로나19 추가 확진,동부구치소 945명 확진 뒤에야…심려 끼쳐 송구하다는 추미애,0.7001982745383216,399
3768,신축년辛丑年 새해에도 집콕 생활...유통가 생필품 할인,누나홀닭·배달의민족 2021년 1월 매주 수요일 특별 할인 이벤트 실시,0.7001966658721127,48
6704,누나홀닭·배달의민족 2021년 1월 매주 수요일 특별 할인 이벤트 실시,신축년辛丑年 새해에도 집콕 생활...유통가 생필품 할인,0.7001966658721127,38
2609,서울시장 후보 선호도 안철수 24.1% 1위 박영선 15.3%·오세훈 9.5%,나경원 출마 묻자 安 안들어올 것…그래서 고심 깊어,0.7001963572001272,100
2796,나경원 출마 묻자 安 안들어올 것…그래서 고심 깊어,서울시장 후보 선호도 안철수 24.1% 1위 박영선 15.3%·오세훈 9.5%,0.7001963572001272,37
3651,조두순 “커피점 차리고 싶다”... 안산 시민들 “막아달라” 민원,2021년 새해 기다리는 시민들,0.7001954716585832,33
5645,2021년 새해 기다리는 시민들,조두순 “커피점 차리고 싶다”... 안산 시민들 “막아달라” 민원,0.7001954716585832,81
297,유승민 이명박·박근혜 대통령 사면 제안 적극 동의,‘이·박 사면론’ 반발 커지자…민주당 “당사자 반성이 중요”,0.7001950081710354,247
2629,‘이·박 사면론’ 반발 커지자…민주당 “당사자 반성이 중요”,유승민 이명박·박근혜 대통령 사면 제안 적극 동의,0.7001950081710354,230
4103,진천군 현안 대응 상황 점검 나선 이시종 충북지사,정세균 총리 동부구치소 초동 대응 미흡 안타깝다,0.7001942004145456,84
1732,정세균 총리 동부구치소 초동 대응 미흡 안타깝다,진천군 현안 대응 상황 점검 나선 이시종 충북지사,0.7001942004145456,196
1352,정규재 민주당 2중대 국민의힘으론 정권교체 힘들어,국민 통합 vs 촛불 민심 역행…사면론에 불붙은 민주당,0.700194157185836,47
2084,국민 통합 vs 촛불 민심 역행…사면론에 불붙은 민주당,정규재 민주당 2중대 국민의힘으론 정권교체 힘들어,0.700194157185836,51
8046,은행 신규수익원으로 펀드·방카 대신 유언대용신탁 활용해야,남아공 새해맞이 폭죽 대신 촛불 코로나 희생자 기려,0.700193951533194,14
4389,추미애 동부구치소 감염사태 뒤늦게 심려 끼쳐 송구,조수진 구치소 집단감염 사태 秋 윤석열 찍어내기 몰두한 탓,0.7001929467419538,139
1072,조수진 구치소 집단감염 사태 秋 윤석열 찍어내기 몰두한 탓,추미애 동부구치소 감염사태 뒤늦게 심려 끼쳐 송구,0.7001929467419538,39
5149,대구 43명·경북 24명 신규 확진…교회·병원 관련 감염 지속,동부구치소 945명 확진 뒤에야…심려 끼쳐 송구하다는 추미애,0.7001926896465389,421
4433,외국인 입국자 8일부터 PCR 음성확인서 의무화,군산사랑상품권 4일부터 5000억 규모 판매…할인율 10%,0.7001923637320691,63
8184,군산사랑상품권 4일부터 5000억 규모 판매…할인율 10%,외국인 입국자 8일부터 PCR 음성확인서 의무화,0.7001923637320691,33
4375,외국인 입국자 PCR 음성확인서 8일부터 단계적 의무화,군산사랑상품권 4일부터 5000억 규모 판매…할인율 10%,0.7001923637320691,63
5534,설민석·홍진영 계속되는 표절 논란…문제의식이 없다,중국 CDC 변이 바이러스가 백신 효과 떨어뜨리는 증거 없다,0.7001918588841047,13
5890,중국 CDC 변이 바이러스가 백신 효과 떨어뜨리는 증거 없다,설민석·홍진영 계속되는 표절 논란…문제의식이 없다,0.7001918588841047,10
2423,성탄절 모임한 퇴역 주한미군 부부 2쌍 코로나19 확진,오후 9시까지 738명 확진…2일 신규 확진자 1천명 밑돌듯종합,0.700191774121224,16
2429,성탄절에 만난 퇴역 주한미군 부부 2쌍 코로나19 확진,오후 9시까지 738명 확진…2일 신규 확진자 1천명 밑돌듯종합,0.700191774121224,16
804,현충원 들어서는 이낙연 대표,주민과 대화 나누는 안철수 대표,0.7001910760200957,390
483,주민과 대화 나누는 안철수 대표,현충원 들어서는 이낙연 대표,0.7001910760200957,105
722,새해 첫 현충원 찾은 이낙연 대표,문대통령 현충원 참배…국민 일상 되찾고 선도국가 도약할 것,0.7001910584197909,236
2170,문대통령 현충원 참배…국민 일상 되찾고 선도국가 도약할 것,새해 첫 현충원 찾은 이낙연 대표,0.7001910584197909,271
5199,진주 골프모임 2명 등 새해 첫날 경남 코로나19 확진자 13명,신규확진 1029명…동부구치소 126명에 새해 첫날 다시 1000명선상보,0.7001909118037196,450
5261,신규확진 1029명…동부구치소 126명에 새해 첫날 다시 1000명선상보,진주 골프모임 2명 등 새해 첫날 경남 코로나19 확진자 13명,0.7001909118037196,108
3327,충북 오늘 31명 추가 확진…누적 1216명,파주 육군 신병교육대서 훈련병 1명 확진…2차 검사 양성,0.700190097374667,380
4430,추미애 동부구치소 감염 사태 뒤늦게 사과...심려 끼쳐 송구,“서울 동부구치소 관련 131명 추가 확진”…요양시설 등 집단감염 지속,0.7001885960104435,137
4095,“서울 동부구치소 관련 131명 추가 확진”…요양시설 등 집단감염 지속,추미애 동부구치소 감염 사태 뒤늦게 사과...심려 끼쳐 송구,0.7001885960104435,489
1451,유영민 “바깥 의견 전할 것”… ‘왕수석’ 신현수는 檢개혁 완수임무,유은혜 부총리와 인사 나누는 유영민 비서실장,0.7001871093347926,18
2269,유은혜 부총리와 인사 나누는 유영민 비서실장,유영민 “바깥 의견 전할 것”… ‘왕수석’ 신현수는 檢개혁 완수임무,0.7001871093347926,44
5167,강원도 누적확진자수 1237명...속초 10명 강릉 2명 등 동해안지역 19명 추가 발생,秋 동부구치소 집단감염 ‘늑장사과’…첫 확진자 발생 35일만에,0.7001854091648769,416
3791,단일시설 최대 감염지... 동부구치소에 날아가는 비둘기,동부구치소發 집단감염 1000명 다다르자 뒤늦게 첫 사과한 秋,0.7001853819018892,32
3693,동부구치소發 집단감염 1000명 다다르자 뒤늦게 첫 사과한 秋,단일시설 최대 감염지... 동부구치소에 날아가는 비둘기,0.7001853819018892,208
3244,광주 의사동호회 연쇄 감염…병원 6곳 지역 의료 흔들,오늘 광주 8명·전남 9명 코로나19 확진,0.7001853205443905,25
3469,충북 새해 첫날 31명 확진…병원‧교회 연쇄감염 지속종합,괴산 성모병원 5번째 코로나19 사망·음성 1명 확진,0.7001849628023173,373
3161,괴산 성모병원 5번째 코로나19 사망·음성 1명 확진,충북 새해 첫날 31명 확진…병원‧교회 연쇄감염 지속종합,0.7001849628023173,397
3033,충북 새해 첫날 32명 확진…병원‧교회 연쇄감염 지속종합2보,괴산 성모병원 5번째 코로나19 사망·음성 1명 확진,0.7001849628023173,373
1825,서울 동부구치소 누적 확진자 958명…정 총리 “초동 대응 안타까워”,秋 동부구치소 집단감염 ‘늑장사과’…첫 확진자 발생 35일만에,0.7001846697499863,177
5619,힘차게 떠오르는 2021년 신축년辛丑年 첫 일출,출입통제 속 차분한 해맞이…전국 일출 명소 한산,0.7001837522117734,206
7640,쿠팡이츠 돌풍…3개월 만에 사용자 70% 증가,경기도 광주시 야산에서 불...1시간 반 만에 진화,0.7001827581021729,21
2999,경기도 광주시 야산에서 불...1시간 반 만에 진화,쿠팡이츠 돌풍…3개월 만에 사용자 70% 증가,0.7001827581021729,26
3312,강원 새해 첫날도 두 자릿수 확진…오늘 25명,울산서 인터콥발 확진자 6명 추가…누적 89명,0.7001820999095839,203
3508,속보 서울동부구치소 수용자 13명·직원 1명 추가 확진,추미애 동부구치소 코로나 확산 송구…수용자 방마다 엉터리 체온계 추가 증언,0.7001818900684786,397
4475,추미애 동부구치소 코로나 확산 송구…수용자 방마다 엉터리 체온계 추가 증언,속보 서울동부구치소 수용자 13명·직원 1명 추가 확진,0.7001818900684786,196
3260,서울중앙지검 코로나19 확진 직원 접촉자 10명 모두 ‘음성’,광양산단 기업 직원 4명 잇따라 확진…산단 방역 비상,0.7001793589320561,274
1977,교정시설 코로나19 점검나선 정세균·추미애,새해 첫 중대본 회의 참석하는 정세균 총리,0.7001792349141386,150
2403,새해 첫 중대본 회의 참석하는 정세균 총리,교정시설 코로나19 점검나선 정세균·추미애,0.7001792349141386,181
2952,최고위원과 사면론 논의 마친 이낙연,이낙연 사면 주장 잘한 판단..DJ도 전두환 사면건의,0.7001791805693066,265
4190,확진자 발생 서울 동작구 산후조리원 산모·아기 전원 음성,파주 육군 신병교육대서 훈련병 1명 확진…2차 검사 양성,0.7001778471072823,202
618,파주 육군 신병교육대서 훈련병 1명 확진…2차 검사 양성,확진자 발생 서울 동작구 산후조리원 산모·아기 전원 음성,0.7001778471072823,139
255,“대통령 뜻만 좇은 巨與 일방폭주로 정치·법치 후퇴시켜” 2021신년특집위기의 민주주의,김근식 민주당 MB·朴 사과 안해도 용서하는 게 진정 용기,0.7001775323116064,41
2734,김근식 민주당 MB·朴 사과 안해도 용서하는 게 진정 용기,“대통령 뜻만 좇은 巨與 일방폭주로 정치·법치 후퇴시켜” 2021신년특집위기의 민주주의,0.7001775323116064,22
826,안철수 李·朴사면론에 “국민적 공감대 중요”,이낙연 “적절한 시기 이명박·박근혜 사면 건의”…갑론을박,0.7001772985538012,259
1978,동부구치소에서 손 소독하는 정세균·추미애,새해 첫 코로나19 중대본 회의에 참석하는 정세균 총리,0.7001770370624789,122
2390,새해 첫 코로나19 중대본 회의에 참석하는 정세균 총리,동부구치소에서 손 소독하는 정세균·추미애,0.7001770370624789,194
