,기준뉴스문장,임계치문장,코사인유사도,클러스터갯수
5752,연합시론 새해는 응전의 시간…소처럼 우직하게 진격하자,연합시론 새해는 응전의 시간…소처럼 우직하게 진격하자,1.0000000000000004,1
5004,도박장 열고 사기도박…전직 소방공무원 집유 2년→벌금형,도박장 운영·사기 도박 전 충북 소방공무원 2심서 감형,0.9031725462730089,5
5001,도박장 개설 사기도박 충북소방공무원 2심서 벌금형 감형,도박장 운영·사기 도박 전 충북 소방공무원 2심서 감형,0.897798385997592,5
8460,규제지역서 내집 마련하려는 청년들…일단 이것부터 해두자 정연일의 청약ABC,연초부터 4억로또…판교밸리자이 8일 청약,0.8456085814112706,4
3723,태권도장 관장들 제대로 된 방역지침 마련해 생존권 보장하라,태권도장 관장들 집합금지만 한 달째…방역 기준 완화해달라,0.8454386753347737,8
7881,레고 라방,SM타운 라이브 186개국·3583만 스트리밍..전세계 K팝 점령,0.8378161212523256,6
4732,인도서 불법 온라인대출 중국인 체포…이자 36%·채무자 협박,4월부터 불법 공매도 감시·처벌 강화,0.8370165012879157,5
4710,‘16개월입양아 학대사망’ 정인이 썰렁한 수목장 근황,청년의힘 아동학대 사망 정인이 살릴 수 있었는데…경찰청장 사퇴하라,0.819732858386268,7
7922,메리츠證 지금은 대세상승 초입…2023년까지 구조적 상승장,정 총리 지금은 대선주자라기보다 총리…한 눈 팔면 안 된다,0.8168624807146639,9
6484,남해군 ‘독일마을 모노레일 설치’ 협약,인터넷가입 비교사이트 인터넷‧IPTV 등 신규가입 문의 증가 ‘설치 당일 현금지원 혜택’,0.8154093373490933,4
4539,추위와 파도가 만든 고드름,캠핑장 해돋이 줌년회…코로나가 만든 신년풍속도,0.8147160274089527,12
8618,사망보장 동시에 연금 종신 보장하는 달러보험 나왔다,100세 넘어도 연금 주는 푸르덴셜 달러연금보험,0.811692973597729,5
6763,아사히 밀어낸 편의점 수제맥주 비결은 재밌어야 팔린다,NOW ‘신데렐라 편의점’… 밤이 되면 알바가 사라진다,0.8071292845503414,4
2783,폼페이오 북미관계 자화자찬…역사적 폭풍트윗종합,폼페이오 새해벽두 북미관계 자화자찬 줄트윗…역사적,0.8053212888674083,6
7391,fn마켓워치한화생명 수원사옥도 매각,매각 임박한 쌍용차‥법정관리 위기 조기 탈출 성공하나,0.8047559407255814,15
5708,秋 尹 직무배제 집행정지 항고 취하,추미애 윤석열 직무배제 집행정지 항고 취하,0.8045096766077848,7
2717,신속대응사단 창설에 관심↑…테러·재난·국지도발 대응종합,신속대응사단 오늘 창설…테러·재난 등 비전통 위협 대응,0.8016210392271715,10
3599,헌재 주가조작 징역·벌금 동시처벌 합헌,허위공시로 부당한 돈 벌었다면…헌재 징역벌금형은 합헌,0.8009392153507287,16
1500,김상조 그대로 정책기조 그대로...쇄신보다 안정이 급했다,비서실장 유영민 민정수석 신현수 김상조 사의 반려,0.8009303347271849,4
7977,전기차도 주행거리 따라 세금내야,배터리·전자 2021년도 순항… 정유 코로나 따라 ‘널뛰기’,0.8008807946258834,4
7108,코스닥人김종철 멕아이씨에스 대표 “포스트 코로나 문제없다”,임영빈 前삼성생명 고문 삼성생명공익재단 대표,0.7999421853884252,5
