,기준뉴스문장,임계치문장,코사인유사도,클러스터갯수
3690,동부구치소 집단감염 131명 추가 발생… 확진자 누적 903명,최대집 의협 회장 동부구치소 코로나19 확진자 의료시설로 전원해야,0.7001906839570724,518
3424,동부구치소 확진 4명 추가 누적 958명…내일 5차검사종합,동해 코로나19 확진자 9명141149번추가 발생,0.7000320470500859,508
3765,동부구치소 관련 누적 확진자 천 명 근접...곳곳에서 감염 속출,속보 오후 6시 현재 서울서 코로나 확진 210명 발생,0.700055425207619,502
4782,전북 6명 신규 확진…김제 요양원 관련 총 100명,동부구치소 945명 확진…秋 심려 끼쳐 송구,0.700756679114014,500
4009,서울 동부구치소 확진자 131명 추가.. 총 945명으로,동부구치소 코로나 집단감염 국정조사 요구 기자회견,0.7000770785612902,499
4184,서울 동부구치소 관련 131명 추가 감염…누적 확진자 945명으로 늘어,단일시설 최대 감염지... 동부구치소에 날아가는 비둘기,0.7000015958426333,499
3276,새해 첫날도 감염 속출… 동부구치소 14명 추가 확진,어제 코로나 신규 확진 1029명…2일 만에 다시 1000명대로,0.7003323556351461,497
3946,원주 세인교회 교인 등 10명 코로나19 추가 확진...원주 누적 335명,서울 동부구치소 누적 확진자 958명…정 총리 “초동 대응 안타까워”,0.7012135058260415,496
4590,경산 일가족 4명과 배달원 등 5명 코로나19 추가 확진…누적 확진자  775명으로 늘어,청주 A교회 관련 14명째 확진…어린이집 2곳 검사 중,0.7000305885005224,493
5707,교정시설 누적 코로나 확진자 1000명 육박…서울구치소 확진자 1명 숨져,청주 참사랑요양원 3명 숨져…입소자 11명째 치명률 19.4%,0.7006626937122007,493
3966,종교시설 인터콥 관련 코로나 감염 지속...울산 누계 89명 확진,서울 신규 확진 359명...집단감염 계속,0.7000170841137593,491
3845,파주서 집단감염 요양원 이용자 등 13명 코로나19 확진,하루 확진자 천 명 안팎 유지…연장한 거리두기 효과 의문,0.7002886064128587,490
4120,경남 밤사이 신규 확진자 28명 발생…7개 시·군서 감염 잇따라종합,집단시설이 감염 클러스터…2주간 확진 26%는 ‘경로’ 몰라,0.700099590598835,490
4036,전남서 코로나19 확진자 8명 추가 발생...누적 574명,경기 파주시 식품업체서 신규 집단감염…11명 확진,0.7006116150062734,484
5404,서울 코로나19 신규 확진 359명…사망 5명 늘어,광주교도소 신입 수용자 1명 확진돼 출소…불구속 수사,0.7005547624611761,484
3158,원주 세인교회발 코로나19 확진자 1명 추가,코로나19 신규확진 1천29명…다시 1천명대로,0.700259191162991,484
4095,“서울 동부구치소 관련 131명 추가 확진”…요양시설 등 집단감염 지속,서울 요양병원·노인시설·교회서 집단감염 계속,0.7000818350133723,482
3496,제주도 새해 첫날 9명 신규 확진…누적 430명,김제가나안요양원 전북 단일시설 최대규모 감염...17일 만에 100명,0.7005968387711278,479
3702,군포 피혁공장 관련 6명 추가 확진…4명은 확진자의 가족,신규 확진 824명…남아공 변이 국내 첫 확인,0.7000018760488632,478
5043,비수도권 어제 하루 3백여 명 확진...의사체육동호회·종교시설 관련 연쇄 감염,서울중앙지검 확진자 접촉한 직원 10명 모두 음성,0.7001762727375415,478
2989,오후 9시까지 738명 확진…2일 신규 확진자 1000명 밑돌듯,강원 새해 첫날도 두 자릿수 확진…오늘 25명,0.7004775953885367,478
3444,속보 오후 6시까지 640명 코로나19 신규 확진…수도권 444명,울산 인터콥발 확진자 계속 발생...누적 93명종합,0.7011452952402477,478
3543,원주서 코로나19 확진자 11명 발생…종교시설 관련 6명종합,속보 올해 국가공무원 6450명 채용…작년보다 300명 이상 많아,0.7004997773895214,478
2666,서울 3일 오후 6시까지 코로나19 신규 확진 153명,확진자 1000명대 거리두기 3단계 올리나…오늘 발표,0.7003704453448376,478
3465,집단감염지서 14명 추가…인천 1일 하루 68명 확진종합,경기·전북 등 가금농장 4곳 고병원성 AI 추가 확진,0.700214216182636,475
3835,강서구서 새해 첫날 확진자 16명 추가…8명은 확진자 접촉 감염,파주 육군 신병교육대 훈련병 1명 확진...2차 검사서 양성,0.7003168057935465,474
3456,서울서 오후 6시까지 코로나19 신규 확진 196명,동부구치소 확진자 1천명 가까워지니 나온 추미애 사과,0.7002615292032207,474
3568,경남 새해 첫날 35명 추가로 쏟아져 … 누적 확진자 총 1357명,코로나19 고양시 확진자 31명추가…영국발 변종 음성,0.7004090935393914,474
4909,제주 신규 확진자 5명 추가…네오플 315명 음성,충남 천안시 자동차 부품회사서 신규 집단감염…12명 확진,0.700306612692884,474
3974,홍천서 코로나 확진자 1명 추가…감염경로 조사중,청주 참사랑요양원 3명 숨져…입소자 11명째 치명률 19.4%,0.7007094474098454,473
4182,속보 동부구치소 관련 누적 확진자 131명 추가…945명으로,속보 정부 국내 코로나19 감염 재생산지수 1.0 수준으로 낮아져,0.7000232102246274,473
3467,기존 확진자 관련 3명·감염경로 미상 1명 추가…광주 누적 1106명,서울 동부구치소 누적 확진자 958명…정 총리 “초동 대응 안타까워”,0.7000274865726805,473
4983,부산서 19명 확진···파랑새노인건강센터 5명·감염원 불분명 6명,동부구치소 등 전국 교정시설 확진자 1000명 육박… 내일 동부구치소 5차 전수조사,0.7004577415774521,473
3656,파주 문산읍 요양원 관련 5명 추가 확진…누적 60명,어제 코로나 신규 확진 1029명…2일 만에 다시 1000명대로,0.7000013670233056,472
3323,고양서 집단감염 요양병원 관련 7명 등 31명 확진,동부구치소 코로나 집단감염 국정조사 요구 기자회견,0.7005844045972225,472
4061,부산서 40명 추가 확진···노인시설 14명·보험사무실 3명 등종합,동작구 산후조리원 관련 검사 결과 130명 전원 음성,0.700674086546532,472
4469,서울 동부구치소 관련 코로나19 누적 확진자 918명,광주교도소 신입 수용자 1명 확진 출소…교정시설 추가 없어,0.7001320549843525,472
4904,전북서 6명 코로나19 확진자 추가...김제 가나안요양원 관련 100명 기록,김제가나안요양원 전북 단일시설 최대규모 감염...17일 만에 100명,0.7003391279798246,469
4601,코로나19 신규 확진 1029명…사망 17명 늘어,동부구치소 누적 확진자 945명…직장·종교·요양시설 감염 확산종합,0.7003298147323046,468
6012,인천 83명 코로나19 신규 확진…중증 병상 가동률 66.7%,추미애 동부구치소 코로나 확산 송구…수용자 방마다 엉터리 체온계 추가 증언,0.7002132562390819,468
3477,2보새해 첫날 원주 세인교회 교인 등 강원도내 27명 확진,광주교도소 신입 수용자 1명 확진돼 출소…불구속 수사,0.7005485487247185,468
4209,경남 교회 골프모임 등에서 신규 확진자 28명 발생,신규확진 824명 신년연휴 영향 다시 1000명 아래,0.7004544716520689,468
7,오후 9시까지 738명 확진…2일 신규 확진자 1천명 밑돌듯종합,파주 육군 신교대 훈련병 1명 확진…재검사에서 ‘양성’,0.7011549505681406,466
3422,인천 신규 확진자 83명…종교시설 집단감염 10명 늘어,오늘 광주 8명·전남 9명 코로나19 확진,0.7015738433417739,466
3863,원주서 교회 관련 확진자 6명 등 10명 확진,코로나19 신규 확진 1029명…다시 1000명대,0.700374730855891,466
3337,대구 43명 경북 24명 코로나19 신규 확진,서울중앙지검 확진자 접촉한 직원 10명 음성 판정…12일까지 자가격리,0.7000286213378178,466
5006,새해 첫날 코로나19 신규 확진자 1029명…사망자 총 917명,충주 연수동 교회 관련 10명째 확진…목사 일가족·신도 등,0.7000633624761183,466
5069,부산서 파랑새노인건강센터 연관 5명 등 19명 추가 확진,새해 첫날 오후 9시까지 738명 확진… 자정까지 더 늘어날듯,0.7004752324146625,465
5253,수도권 익명 검사서 149명 신규 확진…누적 1857명,신규확진 1029명 국내 1004명…새해 첫날 다시 1000명대,0.7014181334985307,464
3977,직장·동호회서 잇단 신규감염…동부구치소 관련 누적 확진 945명,오후 6시 기준 640명 코로나19 확진…내일도 1000명대 예상,0.7001665393963469,463
4210,동부구치소 수용자 131명 추가 확진…누적 945명으로 늘어,속보 신규 환자 1029명...새해 첫날 다시 천 명대,0.7010717970067346,462
8430,동부구치소 집단감염 1000명 넘겨…126명 추가 확진,광주교도소 신입수용자 1명 코로나19 확진돼 출소,0.7002227957927886,462
5023,선교단체 ‘인터콥’ 관련 등 8명 추가 확진…울산 누적 724명,파주 육군 신교대 훈련병 1명 확진…재검사에서 ‘양성’,0.7005877785593453,462
4135,경남 코로나19 확진자 28명 추가…누적 1350명종합,동부구치소 등 전국 교정시설 확진자 1000명 육박… 내일 동부구치소 5차 전수조사,0.7000964072715147,462
4440,전남서 해외유입 관련 확진자 2명 추가 발생…누적 574명,숨은 감염원 찾았다 광주시 임시선별검사소 통해 12명 확진,0.7017377555377894,462
5294,경북 7개 시·군서 24명 신규 확진…포항 구룡포 누적 41명,확진 1000명 목전 두고...秋 ‘구치소 집단감염’ 첫 사과종합,0.7000227106646603,460
2975,선교단체 ‘인터콥’ 관련 등 15명 추가 확진…누적 731명,강원 원주 종교시설 고리 감염 확산,0.7000407153209665,460
3426,서울동부구치소 수용자 13명·직원 1명 추가 확진…총 937명 확진,광주 의사 동호회 집단감염 확산...수도권 밖 312명 확진,0.7000833670099218,459
5835,울산서 ‘인터콥’ 관련 코로나19 연쇄감염 ‘눈덩이’···누적 확진자 89명,동부구치소 945명 확진…秋 심려 끼쳐 송구,0.7003377621326541,458
6069,파주 문산 요양원 5명 추가 확진…누적 60명,서울 신규 확진 359명…요양병원·교회 등 집단감염 이어져,0.7002279635206768,457
4445,영주서 코로나19 신규확진자 1명 발생…누적 55명,오후 9시까지 911명…4일 신규확진자 다시 1천명 안팎 나올 듯종합,0.7002498229808778,457
3968,새해 첫날 부산서 코로나19 확진자 40명 발생,3보 코로나19 신규확진 1천29명 다시 1천명대…사망자 17명 늘어,0.7000284480656757,457
4471,비수도권 어제 312명 확진...경북 종교시설 관련 연쇄 감염,신규 확진 824명…남아공 변이 국내 첫 확인,0.7000222459713649,457
3541,고양 누적 확진자 109명…미소아침요양병원 관련 7명 추가 확진,강원 새해 첫날도 두 자릿수 확진…오늘 25명,0.7006707915198452,457
3955,군포 피혁공장 관련 직원·가족 등 6명 추가 확진…누적 74명,추미애 동부구치소 확진자 1천 명 육박해서야 사과,0.7002771287264172,456
4486,새해 첫날도 1000명대…코로나 1029명 확진 사망자 총 917명,확진 1000명 목전 두고...秋 ‘구치소 집단감염’ 첫 사과종합,0.700910439086267,456
5281,서울서 코로나19 359명 신규 확진…17일 연속 300명대,동작구 코로나 확진자 발생한 산후조리원 130명 전원 음성,0.701844939246248,455
3493,동부구치소 확진 1000명 육박…14명 추가 누적 958명,광주 의사 체육동호회 관련 연쇄감염…21명 확진,0.7012038355550461,455
3542,경기 김포 8명 확진…감염경로 미상 6명 확진자 가족 2명,올해 국가공무원 6450명 선발…전년 대비 340명 늘어,0.7008965694505624,454
3416,강원 원주 11명 등 25명 확진…교회 관련 집단감염 확산종합,데일리안 오늘뉴스 종합 이낙연發 사면론에 여권 발칵...친박 사라진 야권은 짐짓 환영만 코로나19 집단감염 확산…동부구치소 누적확진 1000명 돌파 등,0.7001563512095004,454
3184,동부구치소 확진자 14명 추가…전국 1000명 육박,오후 6시 기준 640명 코로나19 확진…내일도 1000명대 예상,0.7003985124944916,453
4055,전남 순천 일가족 6명 등 11명 확진… 누적 574명,하루 확진자 천 명 안팎 유지…연장한 거리두기 효과 의문,0.7000712597630007,452
3472,군포 피혁공장발 확진자 6명 추가 확진…직원·가족 등,코로나19 신규확진 1029명 이틀만에 1000명대… 누적 사망자 917명상보,0.7005438475066903,451
5136,경기 어제 284명 확진…사후 양성판정 등 사망자 8명 늘어,광주교도소 신입 수용자 1명 확진돼 출소…불구속 수사,0.7003292411333899,451
3717,울산 인터콥 관련 확진자 10명 늘어 누적 93명,속보 올해 국가공무원 6450명 채용…작년보다 300명 이상 많아,0.7008614651174286,450
3485,인천서 종교시설 집단감염 10명 포함 83명 신규 확진종합,CJ대한통운 유튜버 ‘택아’ 포함 올해의 택배인 32명 선정,0.7001681043555552,450
5300,경남 새해 첫날부터 밤새 신규 확진자 13명 발생,서울동부구치소 14명 추가 확진…2일 5차 전수조사 실시,0.7002166288933788,450
3454,서울동부구치소 확진자 14명 추가…秋 “국민께 심려 송구”종합,확진자 나온 동작구 산후조리원 산모·아기 등 130명 음성,0.7002417760463726,450
4763,대구서 신규 확진 43명 발생,로젠택배 이천물류센터 누적 확진자 80명...일상 영역 집단 감염 속출,0.7008984465283973,449
4040,경남에서 코로나19 확진자 28명 발생…도내 누적 1350명,동부구치소 수용자 131명 추가 감염…집단감염 잇따라,0.7001449495828573,449
4171,광주서 감염경로 미상 3명·병원 관련 1명 등 4명 추가…누적 1102명,새해 첫날 대전·세종·충남 10명 확진,0.7001833350673093,449
3119,이틀 동안 14명 추가 확진…누적 확진자 430명,신규확진 1029명 사망자 917명…지역 1주 평균 976명 3단계 충족종합2보,0.7004566602016382,449
3253,동작구서 확진자 24명 추가…19명은 확진자 접촉 감염,충남 천안시 자동차 부품회사서 신규 집단감염…12명 확진,0.7004947799631475,448
3514,제주 강정 공동주거지발 2명 추가…도내 신규 확진자 9명,로젠택배 이천물류센터 누적 확진자 80명...일상 영역 집단 감염 속출,0.7018814844094372,448
5578,청주서 확진자 접촉 50대 1명 추가 감염…충북 누적 1185명,파주 육군 신교대 훈련병 1명 확진…재검사에서 ‘양성’,0.700044853509326,448
3567,고양시 요양병원 관련 7명 추가 확진…환자 5명·직원 2명,대구 교회발 감염 여전한데 병원까지…달서구 의료기관 누적 21명,0.7010823887720775,448
5406,속보 전북 밤사이 확진자 5명 추가 발생…누적 849명,충남 서천서 1명 확진…감염경로 조사중,0.7002028800384642,447
3400,광주서 코로나19 신규 확진 8명…감염경로 미확인,하루 확진자 천 명 안팎 유지…연장한 거리두기 효과 의문,0.700009619936516,447
4814,전북 밤사이 확진자 6명 추가 확진…남원의료원 간호사 포함종합,확진자 941명 동부구치소발 감염자 더 나오나…내일 5차 전수검사,0.7001890481974277,447
5219,경남 코로나19 확진자 13명 추가…누적 1334명,충남 서천서 1명 확진…감염경로 조사중,0.7002275841276372,446
7447,동부구치소 확진자 14명 증가…오늘 1128명 전수조사,속보 당국 영국발 변이 바이러스 4명 추가 확인…남아공발도 1명,0.7011508619203918,446
4606,제주 사우나·라이브카페 관련 코로나19 확진자 5명 추가,동부구치소 945명 확진 뒤에야…심려 끼쳐 송구하다는 추미애,0.7004289097663279,446
2710,“전직 대통령 사면이 장난인가” 국민의힘 이낙연 대표에 반발,이낙연발 ‘사면론’에 정치권 술렁 野 발끈 與 당황 靑 무슨 속내 있나,0.7001222683614847,446
4123,외국인 근로자 22명 등 군포 공장서 67명 확진…경기 284명,신축년부동산③전문가 10명 중 9명 무주택자 올해 집 사라,0.7005254556208858,445
5408,울산 인터콥 관련 6명 추가 확진…누적 89명,코로나19 신규 확진자 1029명…다시 1천명대,0.7002823915583811,444
5199,진주 골프모임 2명 등 새해 첫날 경남 코로나19 확진자 13명,2보 코로나19 어제 1천29명 신규확진…다시 1천명대로,0.7003328316869498,444
3081,전주·군산·익산서 6명 추가 확진…새해 첫날 전북서 11명종합,로젠택배 이천물류센터 누적 확진자 80명...일상 영역 집단 감염 속출,0.7015720924661734,444
3144,군산서 새해 첫날 2명 추가 확진…전북 누적 856명,서울 동부구치소 관련 확진자 9백명 넘어...요양시설 또 감염,0.7001325700733423,444
5170,속보 순천서 일가족 등 6명 코로나 확진…학교서 전수검사,파주 육군 신교대서 훈련병 1명 확진…입영 후 2차 검사서 양성,0.7004066965738089,444
4460,울산서 일가족 등 인터콥 관련 확진자 6명 추가…누적 89명,서울 신규 확진 459명…요양병원·노인시설·교회서 집단감염,0.7000397200299842,443
5771,밤사이 추가 확진 절반이 의사동호회 관련…광주 31일 하루 17명,제주 강정 공동시설 3명 확진...지역 주민 접촉 우려,0.7010554346989921,443
5481,속보 코로나19 어제 1029명 확진…2일만에 다시 1000명대,서울동부구치소 내 수용자 13명·직원 1명 추가 확진,0.7000650851325676,443
3749,구미 새해 첫날 신규 확진자 9명 추가…누적 250명,동부구치소 945명 확진 뒤에야…심려 끼쳐 송구하다는 추미애,0.7012064202456444,443
5216,순천서 일가족 등 6명 코로나 확진…학교서 전수검사,서울 신규확진 359명 17일 연속 300명 넘어…한달 새 89명 사망,0.7003774688904056,442
6126,신규확진 다시 1000명대…서울동부구치소 131명 추가 확진,충주 연수동 교회 관련 10명째 확진…목사 일가족·신도 등,0.7020512675966998,441
5499,코로나 신규확진 1천29명…사망자는 어제 17명 늘어 총 917명,속보동작구 산후조리원 직원 1명 코로나19 확진…산모·신생아 등 모두 음성,0.7002123113404295,440
5068,대구 교회·병원 n차감염 43명 신규 확진 … 5명은 감염경로 미확인,제주 강정 공동시설 3명 확진...지역 주민 접촉 우려,0.7003443155386121,440
4695,서울 369명 확진 누적 2만명 육박... 동부구치소 126명 추가,수도권 임시검사소 ‘익명 검사’서 하루 만에 91명 확진,0.7000664112024603,440
5576,경북서 코로나19 확진자 24명 추가...7개 시·군서 발생,코로나19 신규확진 1천29명 다시 1천명대…사망자 17명 늘어종합,0.7004104996739486,440
3367,파랑새노인센터 관련 14명 등 40명 신규 확진,인천 교회서 병원으로 ‘n차 감염’ 확산…곧 누적 3000명 예상,0.700011819310763,440
5149,대구 43명·경북 24명 신규 확진…교회·병원 관련 감염 지속,지난 해 코로나19 5만 7042건 검사 … 확진자 총 421명 발생,0.7002303628471334,439
5401,집단감염 전북 요양병원 등 5명 추가 확진,전북 고창 육용오리 농장서도 고병원성 AI,0.7000399040170079,439
3431,새해 첫날 서울 코로나 신규 확진 196명,충주서 10대 4명 등 가족 확진…음성 소망병원 집단 감염 이어가,0.7001690716669523,439
3372,속보 오늘1일 오후 6시까지 서울서 210명 신규 확진,새해 첫날 충남·세종 등 10명 코로나 확진,0.7017900587330947,438
4741,인천 확진자 접촉 등 54명 확진…누적 2943명,확진자 나온 동작구 산후조리원 관련 산모·아기 등 모두 음성,0.7003556750445271,437
5361,코로나19 신규 확진자 1029명…수도권서만 692명 발생종합,WHO 北 지난해 1만707명 코로나19 검사···확진자 0명,0.7003119843680948,437
3003,오후 9시까지 738명 확진…2일 신규 1천명 밑돌듯,서울동부구치소 14명 추가 확진…2일 5차 전수조사 실시,0.7006937669241927,437
5191,부산 밤사이 19명 확진…파랑새노인건강센터 5명 추가,파주 육군 신교대 훈련병 1명 확진…재검사에서 ‘양성’,0.7005458119375537,437
4104,부산에서 40명 확진...파랑새노인센터 관련 확진자 증가,추미애 동부구치소 확진자 1천 명 육박해서야 사과,0.7005430701360863,436
5105,코호트격리 진천 도은병원 확진자 10명 추가…누적 88명,서울 신규 확진 359명…요양병원 등 집단감염 계속,0.7013431276355291,436
3245,울산서 인터콥발 12명 등 15명 추가 확진…누적 731명종합,강원 새해 첫날도 두 자릿수 확진…오늘 25명,0.7008060250861381,435
3391,부천 확진자 접촉 등 22명 확진…가족간 전염 15명,코호트 격리 화순 A 요양병원 추가 감염 진정세,0.7005007917190003,433
4798,신규 확진 1029명 다시 1천 명대…사망 17명 늘어,충주서 10대 4명 등 가족 확진…음성 소망병원 집단 감염 이어가,0.700289995484153,433
3282,울산 인터콥 관련 하루 확진자 11명 늘어 누적 96명종합2보,軍 내 코로나19 확산세 주춤…추가 확진자 0명,0.7000366637713997,433
5352,속보 순천서 새해 첫날 일가족 6명 확진…누적 197명,확진 1000명 목전에 두고서야...秋 “동부구치소 집단감염 송구”,0.7000851869519396,433
